Khasar	25	100.000000
Temuge	18	99.000000
Subeedei	19	99.000000
Zolboo	24	99.000000
Subeedei	25	97.000000
Sanchir	32	95.000000
Zolboo	28	94.000000
Temuujin	20	94.000000
Ider	16	93.000000
Tengis	30	93.000000
Tenuun	22	92.000000
Od	26	91.000000
Iveel	31	91.000000
Telmuun	17	90.000000
Enerel	28	89.000000
Javkhlan	26	86.000000
Temuge	25	86.000000
Avralt	34	85.000000
Zolboo	26	84.000000
Margad	31	83.000000
Baysgalan	15	83.000000
Tenger	22	82.000000
Itgel	23	82.000000
Tsolmon	25	81.000000
Erdem	27	79.000000
Temuge	19	79.000000
Temuulen	27	79.000000
Chingun	30	78.000000
Khongor	22	73.000000
Javkhlan	19	71.000000
Telmen	27	71.000000
Jonon	32	70.000000
Zumber	32	70.000000
Tenuun	34	70.000000
Baysgalan	25	70.000000
Tengis	32	67.000000
Chingun	26	66.000000
Khasar	33	65.000000
Manlai	15	65.000000
Temuul	26	65.000000
Bayr	33	65.000000
Od	24	64.000000
Erkhem	18	63.000000
Barkhas	22	62.000000
Javkhlan	23	60.000000
Itgel	18	60.000000
Temuul	33	59.000000
Ider	26	58.000000
Temuge	34	57.000000
Orkhon	16	55.000000
Badrakh	15	54.000000
Bilguun	32	53.000000
Amir	22	52.000000
Ochir	19	52.000000
Od	25	51.000000
Amir	30	51.000000
Demuul	15	50.000000
Jonon	16	50.000000
Ochir	30	50.000000
Och	26	49.000000
Temuge	31	49.000000
Tulga	22	48.000000
Togtuun	29	47.000000
Sanchir	27	47.000000
Baatar	18	47.000000
Khangai	30	47.000000
Anand	23	46.000000
Avid	16	45.000000
Erdem	17	45.000000
Erdenes	22	43.000000
Michid	19	42.000000
Anar	18	41.000000
Margad	19	40.000000
Enerel	30	36.000000
Manlai	33	36.000000
Itgel	21	35.000000
Erkhes	16	34.000000
Khangai	23	32.000000
Dulguun	32	31.000000
Temuulen	19	31.000000
Bishrelt	22	30.000000
Tamir	27	28.000000
Sansar	19	27.000000
Inguun	26	27.000000
Enguun	32	26.000000
Shagai	34	24.000000
Baysgalan	20	22.000000
Tsengel	17	22.000000
Tenger	34	22.000000
Temuge	33	18.000000
Zumber	24	17.000000
Bilguun	15	16.000000
Tsengel	17	13.000000
Margad	17	12.000000
Tenger	15	10.000000
Tamir	29	6.000000
Sanchir	15	5.000000
Soymbo	20	1.000000
Michid	24	1.000000
Temuul	20	1.000000
